nm0569226	Bruce McGill	{"0": "male"}
nm0001098	Rodney Dangerfield	{"0": "male"}
nm0670408	Simon Pegg	{"0": "male"}
nm1429380	Britt Robertson	{"0": "female"}
nm0147825	Cedric The Entertainer	{"0": "male"}
nm0344435	Ioan Gruffudd	{"0": "male"}
nm0001349	Jennifer Love Hewitt	{"0": "female"}
nm0754512	Daryl Sabara	{"0": "male"}
nm2257207	Daniel Kaluuya	{"0": "male"}
nm0004862	Kristin Davis	{"0": "female"}
nm0001835	Carl Weathers	{"0": "male"}
nm0266824	Dakota Fanning	{"0": "female"}
nm0735442	Michelle Rodriguez	{"0": "female"}
nm2955013	Liam Hemsworth	{"0": "male"}
nm0352778	Bill Hader	{"0": "male"}
nm2812026	Nathalie Emmanuel	{"0": "female"}
nm0631490	Bill Nighy	{"0": "male"}
nm0004754	Jessica Biel	{"0": "female"}
nm0001599	Will Patton	{"0": "male"}
nm1089991	Tom Hiddleston	{"0": "male"}
nm0000546	Matthew Modine	{"0": "male"}
nm0004742	Maria Bello	{"0": "female"}
nm1415323	Miley Cyrus	{"0": "female", "2019": "female#non-binary", "2020": "genderfluid", "2022": "female#genderfluid", "2023": "genderfluid", "2024": "female#genderfluid"}
nm0001082	Billy Crudup	{"0": "male"}
nm2143282	Lupita Nyong'o	{"0": "female"}
nm0151419	Kyle Chandler	{"0": "male"}
nm1258970	Russell Brand	{"0": "male"}
nm0910278	Julie Walters	{"0": "female"}
nm0001493	Peter MacNicol	{"0": "male"}
nm1663205	Sharlto Copley	{"0": "male"}
nm0687146	Jesse Plemons	{"0": "male"}
nm0004724	Christine Baranski	{"0": "female"}
nm0147147	Henry Cavill	{"0": "male"}
nm0000260	Joan Allen	{"0": "female"}
nm0272581	Rebecca Ferguson	{"0": "female"}
nm0328709	Meagan Good	{"0": "female"}
nm0000641	Gary Sinise	{"0": "male"}
nm0005278	Jerry O'Connell	{"0": "male"}
nm0005251	Carrie-Anne Moss	{"0": "female"}
nm0001258	James Garner	{"0": "male"}
nm0000267	Julie Andrews	{"0": "female"}
nm0000435	Daryl Hannah	{"0": "female"}
nm0000606	Jean Reno	{"0": "male"}
